tubersize,eveness,appearance,tubnumbers,eyedepth,yield,uniformity,ffscab,ffdefects,ffhollowh,ff_irs,env_type,trial_type,soil_type
6.0,6.0,8.0,7.5,8.0,34.14,5.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,5.0,6.0,8.0,8.0,50.69,6.0,6.0,4.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,7.5,8.0,7.5,8.0,43.98,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,6.0,7.5,8.0,63.66,6.5,8.0,8.0,9.0,1.0,MED,UNKNOWN,UNKNOWN
6.5,7.5,7.5,7.0,8.0,51.62,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.5,7.5,8.0,8.0,53.24,8.0,8.0,8.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.0,7.0,8.0,31.48,6.0,8.0,7.0,9.0,3.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.5,7.0,8.0,51.39,7.0,8.0,8.0,9.0,3.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.0,7.0,8.0,45.14,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,6.0,6.0,32.64,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.0,6.5,6.0,7.0,57.64,6.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,45.14,6.0,8.0,8.0,9.0,5.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,7.0,6.5,64.81,7.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.5,7.0,6.0,60.19,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,5.5,6.0,6.0,38.66,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,6.0,49.07,6.5,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.5,6.5,7.0,41.44,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.5,7.0,38.19,7.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,7.0,8.0,50.0,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.5,6.0,7.0,8.0,51.39,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,7.0,8.0,50.58,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,8.0,43.52,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.8,6.0,8.0,56.25,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.0,7.0,8.0,62.5,6.0,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.5,6.0,7.0,29.37,,7.0,7.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,6.0,8.0,42.01,,8.0,5.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,7.0,6.0,6.0,6.0,41.31,,8.0,8.0,9.0,3.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,7.0,8.0,47.48,,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,5.5,7.5,6.0,8.0,37.11,,7.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.5,7.5,7.0,8.0,51.78,,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,6.0,8.0,40.27,,8.0,8.0,9.0,5.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,7.0,46.94,,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,7.0,7.5,7.5,8.0,37.37,,8.0,8.0,9.0,3.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.0,7.0,7.0,36.44,,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,7.0,34.34,,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.0,7.0,8.0,37.47,,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.5,7.0,7.0,8.0,38.04,,7.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.0,7.0,7.5,7.0,49.71,,7.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.5,7.0,6.0,8.0,55.21,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,6.5,8.0,37.37,5.5,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,8.0,53.64,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,7.5,8.5,7.5,8.0,41.27,8.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,6.5,7.0,8.0,55.14,7.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,6.0,7.0,8.0,57.78,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.0,7.0,8.0,51.01,7.0,8.0,8.0,9.0,,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,6.0,8.0,53.78,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,6.5,7.0,8.0,41.24,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
